ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,2021-03-25,1219.7097,1212.83,1231.9608,1212.3827,1221.4468,-1.7371,-0.1422,3365032.0,17372560.78
000688.SH,2021-03-24,1221.4468,1228.6053,1244.4515,1219.5068,1236.4736,-15.0268,-1.2153,3866384.0,18395085.417
000688.SH,2021-03-23,1236.4736,1246.361,1257.3752,1232.259,1242.7556,-6.282,-0.5055,4327683.0,19244190.567
000688.SH,2021-03-22,1242.7556,1229.4669,1247.4945,1227.8357,1231.2922,11.4634,0.931,3570030.0,17705671.162
000688.SH,2021-03-19,1231.2922,1226.4137,1242.1309,1221.4186,1241.31,-10.0178,-0.807,3970796.0,19373367.917
000688.SH,2021-03-18,1241.31,1241.5625,1251.5595,1237.6167,1236.5406,4.7694,0.3857,3572963.0,17983650.644
000688.SH,2021-03-17,1236.5406,1220.4463,1237.9081,1213.3455,1220.3665,16.1741,1.3253,3172300.0,16850207.758
000688.SH,2021-03-16,1220.3665,1223.7954,1231.9906,1212.3398,1223.3899,-3.0234,-0.2471,3304112.0,17683260.828
000688.SH,2021-03-15,1223.3899,1254.6753,1254.6753,1213.4295,1261.3246,-37.9347,-3.0075,3478461.0,20858496.45
000688.SH,2021-03-12,1261.3246,1268.4422,1269.2061,1251.197,1267.3009,-5.9763,-0.4716,3716221.0,22424517.106
000688.SH,2021-03-11,1267.3009,1241.1033,1273.9619,1227.3324,1232.735,34.5659,2.804,3855338.0,25001092.09
000688.SH,2021-03-10,1232.735,1251.183,1258.881,1227.4158,1230.1371,2.5979,0.2112,3711132.0,19600521.88
000688.SH,2021-03-09,1230.1371,1275.3229,1278.3243,1227.182,1275.4562,-45.3191,-3.5532,5040233.0,26492249.55
000688.SH,2021-03-08,1275.4562,1337.0213,1340.4153,1275.4562,1329.8392,-54.383,-4.0894,4922588.0,28984739.806
000688.SH,2021-03-05,1329.8392,1307.0636,1338.8254,1305.916,1324.1584,5.6808,0.429,3836834.0,23076216.333
000688.SH,2021-03-04,1324.1584,1358.2833,1362.9943,1322.3375,1359.3978,-35.2394,-2.5923,5243798.0,29925857.446
000688.SH,2021-03-03,1359.3978,1350.0074,1359.7916,1340.3222,1352.0436,7.3542,0.5439,4491709.0,28112309.641
000688.SH,2021-03-02,1352.0436,1373.0314,1373.6599,1342.8965,1358.1412,-6.0976,-0.449,5245032.0,28183824.939
000688.SH,2021-03-01,1358.1412,1339.9939,1359.7201,1337.1925,1325.5865,32.5547,2.4559,4967721.0,27942860.696
000688.SH,2021-02-26,1325.5865,1319.8902,1344.1548,1319.6485,1349.711,-24.1245,-1.7874,4743338.0,27756646.976
000688.SH,2021-02-25,1349.711,1373.8442,1375.613,1349.711,1365.6372,-15.9262,-1.1662,4900397.0,25511458.377
000688.SH,2021-02-24,1365.6372,1393.7184,1398.3271,1358.4093,1390.5265,-24.8893,-1.7899,4513936.0,27847238.462
000688.SH,2021-02-23,1390.5265,1371.6265,1401.5101,1370.9097,1389.9159,0.6106,0.0439,4358750.0,25718346.286
000688.SH,2021-02-22,1389.9159,1431.5584,1436.8001,1388.5213,1427.9066,-37.9907,-2.6606,5450826.0,31366685.535
000688.SH,2021-02-19,1427.9066,1426.101,1430.7221,1404.1475,1429.74,-1.8334,-0.1282,4339918.0,26403207.344
000688.SH,2021-02-18,1429.74,1457.7965,1465.6813,1429.0858,1437.0247,-7.2847,-0.5069,4797954.0,31047946.462
000688.SH,2021-02-10,1437.0247,1424.7737,1440.2116,1407.6446,1427.6823,9.3424,0.6544,4082148.0,27639423.326
000688.SH,2021-02-09,1427.6823,1389.0651,1434.8707,1383.8564,1382.4816,45.2007,3.2695,3905478.0,25790978.324
000688.SH,2021-02-08,1382.4816,1371.7543,1395.1449,1367.3272,1368.8003,13.6813,0.9995,3771755.0,23679081.698
000688.SH,2021-02-05,1368.8003,1396.1248,1407.3245,1368.6528,1394.0966,-25.2963,-1.8145,4227634.0,26311162.686
000688.SH,2021-02-04,1394.0966,1402.0893,1412.7128,1367.7127,1410.1465,-16.0499,-1.1382,4842044.0,27993705.422
000688.SH,2021-02-03,1410.1465,1436.0038,1443.9764,1410.1465,1438.0584,-27.9119,-1.9409,5084930.0,30152505.307
000688.SH,2021-02-02,1438.0584,1419.7111,1438.0868,1414.3587,1421.4807,16.5777,1.1662,4469188.0,27327224.246
000688.SH,2021-02-01,1421.4807,1419.1797,1439.0389,1412.1587,1421.9618,-0.4811,-0.0338,4623272.0,28612523.106
000688.SH,2021-01-29,1421.9618,1435.2835,1440.251,1400.6705,1421.5872,0.3746,0.0264,4920399.0,30162851.13
000688.SH,2021-01-28,1421.5872,1441.3975,1461.8424,1418.9424,1458.3723,-36.7851,-2.5223,4281555.0,28182121.307
000688.SH,2021-01-27,1458.3723,1481.486,1489.7587,1441.1761,1478.451,-20.0787,-1.3581,4527917.0,30381286.1
000688.SH,2021-01-26,1478.451,1497.9992,1509.413,1471.3055,1498.595,-20.144,-1.3442,4841190.0,34015119.123
000688.SH,2021-01-25,1498.595,1481.7379,1513.7253,1471.1805,1486.3075,12.2875,0.8267,6035836.0,42910105.115
