ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
159761.SZ,国泰中证新材料主题ETF,新材料ETF国泰,国泰中证新材料主题交易型开放式指数证券投资基金,H30597.CSI,中证新材料主题指数,20211124,2021-12-13,L,SZ,国泰基金,杭州银行股份有限公司,0.5,纯境内
159763.OF,建信中证新材料主题ETF,建信中证新材料主题ETF,建信中证新材料主题交易型开放式指数证券投资基金,H30597.CSI,中证新材料主题指数,20210819,2021-09-13,L,SZ,建信基金,中信建投证券股份有限公司,,纯境内
159763.SZ,建信中证新材料主题ETF,新材料ETF建信,建信中证新材料主题交易型开放式指数证券投资基金,H30597.CSI,中证新材料主题指数,20210819,2021-09-13,L,SZ,建信基金,中信建投证券股份有限公司,0.5,纯境内
159766.OF,富国中证旅游主题ETF,富国中证旅游主题ETF,富国中证旅游主题交易型开放式指数证券投资基金,930633.CSI,中证旅游主题指数,20210715,2021-07-23,L,SZ,富国基金,中国银行股份有限公司,,纯境内
159766.SZ,富国中证旅游主题ETF,旅游ETF富国,富国中证旅游主题交易型开放式指数证券投资基金,930633.CSI,中证旅游主题指数,20210715,2021-07-23,L,SZ,富国基金,中国银行股份有限公司,0.5,纯境内
159767.OF,兴银国证新能源车电池ETF,兴银国证新能源车电池ETF,兴银国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,20210806,2021-08-23,L,SZ,兴银基金,上海浦东发展银行股份有限公司,,纯境内
159767.SZ,兴银国证新能源车电池ETF,电池龙头ETF兴银,兴银国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,20210806,2021-08-23,L,SZ,兴银基金,上海浦东发展银行股份有限公司,0.5,纯境内
159768.OF,房地产ETF,房地产ETF,银华中证内地地产主题交易型开放式指数证券投资基金,000948.CSI,中证内地地产主题指数,20220127,2022-02-16,L,SZ,银华基金,中国建设银行股份有限公司,,纯境内
159768.SZ,房地产ETF,房地产ETF银华,银华中证内地地产主题交易型开放式指数证券投资基金,000948.CSI,中证内地地产主题指数,20220127,2022-02-16,L,SZ,银华基金,中国建设银行股份有限公司,0.5,纯境内
159769.OF,消费电子龙头ETF,消费电子龙头ETF,银华中证消费电子主题交易型开放式指数证券投资基金,931494.CSI,中证消费电子主题指数,20220218,2022-03-03,D,SZ,银华基金,招商银行股份有限公司,,纯境内
159769.SZ,消费电子龙头ETF,消费电子龙头ETF,银华中证消费电子主题交易型开放式指数证券投资基金,931494.CSI,中证消费电子主题指数,20220218,2022-03-03,D,SZ,银华基金,招商银行股份有限公司,0.5,纯境内
